state,industry_name,total_emp,all_emp_tot,pct_emp
Alabama,Utilities,2149417,62356336,3.4469905351719192
Alabama,Transportation & Warehousing,7365475,62356336,11.811911142437875
Alabama,Accomodation & Food Services,17102578,62356336,27.427169550180114
Alabama,Construction,8644325,62356336,13.862785331068842
Alabama,"Agriculture, Forestry, Fishing & Hunting",1155087,62356336,1.8523971645800357
Alabama,"Mining, Quarrying, & Oil and Gas Extraction",568187,62356336,0.9111936916883634
Alabama,Manufacturing,25371267,62356336,40.68755258487285
Alaska,Transportation & Warehousing,2025703,9170178,22.09011646229768
Alaska,Accomodation & Food Services,2799531,9170178,30.528644045949815
Alaska,Construction,1562462,9170178,17.038513320024975
Alaska,Utilities,224878,9170178,2.4522751902961972
Alaska,"Agriculture, Forestry, Fishing & Hunting",128583,9170178,1.4021865224426395
Alaska,"Mining, Quarrying, & Oil and Gas Extraction",1223171,9170178,13.338574234873086
Alaska,Manufacturing,1205850,9170178,13.149690224115606
Arizona,Utilities,2167897,75077756,2.887535690331501
Arizona,Transportation & Warehousing,10866229,75077756,14.473300187608166
Arizona,Accomodation & Food Services,26353685,75077756,35.1018549355684
Arizona,"Agriculture, Forestry, Fishing & Hunting",2335393,75077756,3.110632395566005
Arizona,"Mining, Quarrying, & Oil and Gas Extraction",1180807,75077756,1.5727787601962955
Arizona,Construction,15625126,75077756,20.811924639836064
Arizona,Manufacturing,16548619,75077756,22.041973390893567
Arkansas,Transportation & Warehousing,5878768,38889887,15.11644402566662
Arkansas,Accomodation & Food Services,10050896,38889887,25.8444978253601
Arkansas,"Agriculture, Forestry, Fishing & Hunting",1202683,38889887,3.092534056475916
Arkansas,Construction,5114850,38889887,13.15213386966128
Arkansas,Utilities,1091002,38889887,2.8053617126735286
Arkansas,"Mining, Quarrying, & Oil and Gas Extraction",379207,38889887,0.9750786881946969
Arkansas,Manufacturing,15172481,38889887,39.013949821967856
California,Manufacturing,124827379,480175297,25.996210088250333
California,Transportation & Warehousing,69958736,480175297,14.569415885632283
California,Accomodation & Food Services,151561040,480175297,31.563689541488426
California,Construction,81346573,480175297,16.941015814064254
California,"Agriculture, Forestry, Fishing & Hunting",40236477,480175297,8.379539149845103
California,Utilities,10328626,480175297,2.151011529441507
California,"Mining, Quarrying, & Oil and Gas Extraction",1916466,480175297,0.39911799127808945
Colorado,Manufacturing,14108397,70953383,19.88403710081026
Colorado,Transportation & Warehousing,9056257,70953383,12.763671888625804
Colorado,Accomodation & Food Services,25717606,70953383,36.24577844300955
Colorado,Construction,16553166,70953383,23.329636023133666
Colorado,"Agriculture, Forestry, Fishing & Hunting",1763017,70953383,2.4847539686726425
Colorado,"Mining, Quarrying, & Oil and Gas Extraction",2383955,70953383,3.35988912607592
Colorado,Utilities,1370985,70953383,1.93223344967216
