state,year,industry_name,total_emp,all_emp_tot,pct_emp
Alabama,2015,Utilities,281551,7505153,3.7514358468108515
Alabama,2015,Transportation & Warehousing,825750,7505153,11.002440589818756
Alabama,2015,Accomodation & Food Services,2098861,7505153,27.965599102376725
Alabama,2015,Construction,980415,7505153,13.063224693753744
Alabama,2015,"Agriculture, Forestry, Fishing & Hunting",142406,7505153,1.8974429968316435
Alabama,2015,"Mining, Quarrying, & Oil and Gas Extraction",82111,7505153,1.094061640049177
Alabama,2015,Manufacturing,3094059,7505153,41.2257951303591
Alabama,2016,Utilities,278068,7620599,3.6488995156417494
Alabama,2016,Transportation & Warehousing,835159,7620599,10.959230370211055
Alabama,2016,Accomodation & Food Services,2163967,7620599,28.396284858972372
Alabama,2016,Construction,1009264,7620599,13.243893295002138
Alabama,2016,"Agriculture, Forestry, Fishing & Hunting",144091,7620599,1.8908093707594376
Alabama,2016,"Mining, Quarrying, & Oil and Gas Extraction",64336,7620599,0.8442380972939266
Alabama,2016,Manufacturing,3125714,7620599,41.01664449211932
Alabama,2017,Utilities,271629,7730082,3.5139213270958836
Alabama,2017,Transportation & Warehousing,846332,7730082,10.948551386647646
Alabama,2017,Accomodation & Food Services,2211149,7730082,28.6044701725027
Alabama,2017,Construction,1023139,7730082,13.23581043512863
Alabama,2017,Manufacturing,3161842,7730082,40.90308485731458
Alabama,2017,"Agriculture, Forestry, Fishing & Hunting",143634,7730082,1.8581174171244237
Alabama,2017,"Mining, Quarrying, & Oil and Gas Extraction",72357,7730082,0.9360444041861393
Alabama,2018,Utilities,271131,7873318,3.4436688572721184
Alabama,2018,Transportation & Warehousing,872177,7873318,11.077629533063444
Alabama,2018,Accomodation & Food Services,2237194,7873318,28.414881756331955
Alabama,2018,Construction,1070482,7873318,13.59632622485209
Alabama,2018,Manufacturing,3201572,7873318,40.66356776139361
Alabama,2018,"Agriculture, Forestry, Fishing & Hunting",145192,7873318,1.8441018132380784
Alabama,2018,"Mining, Quarrying, & Oil and Gas Extraction",75570,7873318,0.9598240538487077
Alabama,2019,Utilities,265517,8015239,3.312652311428268
Alabama,2019,Transportation & Warehousing,907468,8015239,11.321783417811995
Alabama,2019,Accomodation & Food Services,2264185,8015239,28.248502633545925
Alabama,2019,Construction,1123425,8015239,14.016113555690604
Alabama,2019,Manufacturing,3227380,8015239,40.26554916203996
Alabama,2019,"Agriculture, Forestry, Fishing & Hunting",150605,8015239,1.878983271740244
Alabama,2019,"Mining, Quarrying, & Oil and Gas Extraction",76659,8015239,0.9564156477430055
Alabama,2020,Utilities,261695,7546295,3.467860718405522
Alabama,2020,Transportation & Warehousing,910773,7546295,12.069141214331006
Alabama,2020,Accomodation & Food Services,1944018,7546295,25.761224547940415
Alabama,2020,Construction,1113266,7546295,14.7524844973593
Alabama,2020,Manufacturing,3099935,7546295,41.078900308031955
Alabama,2020,"Agriculture, Forestry, Fishing & Hunting",146111,7546295,1.9361951792237118
